[ 2012-10-22T09:46:15+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-10-22T09:46:15+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001424s ]
[ 2012-10-22T09:46:15+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.002680s ]
[ 2012-10-22T09:46:15+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004308s ]
[ 2012-10-22T09:46:24+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --START--
[ 2012-10-22T09:46:24+08:00 ] /index.php/Admin/login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000934s ]
[ 2012-10-22T09:46:24+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001056s ]
[ 2012-10-22T09:46:24+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-22T09:46:24+08:00 ] /index.php/Admin/login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000528s ]
[ 2012-10-22T09:46:24+08:00 ] /index.php/Admin/login/index | INFO: Run CheckLang Behavior [ RunTime:0.001643s ]
[ 2012-10-22T09:46:24+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002294s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | NOTIC: [8] Undefined index:  STATUS LoginAction.class.php 第 9 行.
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --START--
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001252s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001341s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | NOTIC: [2] file_get_contents(./Tpl/Admin/myweb/Public/footer.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.046354s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.046489s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000745s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000904s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000613s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001849s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004337s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --START--
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000859s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000928s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001727s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001865s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000955s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.002756s ]
[ 2012-10-22T09:46:25+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003885s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --START--
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001044s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001195s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000797s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run CheckLang Behavior [ RunTime:0.002074s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003135s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | NOTIC: [8] Undefined index:  STATUS LoginAction.class.php 第 9 行.
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --START--
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001263s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001384s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.001506s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001620s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000439s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000448s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000241s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000435s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001769s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --START--
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000434s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000499s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001077s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001231s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000580s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.001899s ]
[ 2012-10-22T09:46:37+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002647s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --START--
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001026s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001256s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000738s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run CheckLang Behavior [ RunTime:0.002132s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003112s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | NOTIC: [8] Undefined index:  STATUS LoginAction.class.php 第 9 行.
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --START--
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000862s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000986s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.001186s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001303s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000419s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000502s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000298s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000465s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001903s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --START--
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000576s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000651s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000994s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001140s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000581s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.001971s ]
[ 2012-10-22T09:46:49+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002770s ]
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Tag[ route_check ] --START--
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000985s ]
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001123s ]
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000541s ]
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Run CheckLang Behavior [ RunTime:0.001732s ]
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002429s ]
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_template ] --START--
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000803s ]
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000896s ]
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-22T09:47:08+08:00 ] /index.php/Admin/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.001148s ]
