[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ route_check ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run CheckRoute Behavior [ RunTime:0.000945s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001058s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000593s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run CheckLang Behavior [ RunTime:0.001694s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002430s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | SQL: SHOW COLUMNS FROM `my_procates` [ RunTime:0.002707s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | SQL: SELECT * FROM `my_procates` WHERE pid=0  [ RunTime:0.000653s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | SQL: SELECT * FROM `my_procates` WHERE pid!=0  [ RunTime:0.000107s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ view_template ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001173s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001258s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | NOTIC: [8] Undefined variable: list 5154d8a69ea19b1be76be2f39eed0021.php 第 133 行.
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | NOTIC: [8] Undefined variable: list 5154d8a69ea19b1be76be2f39eed0021.php 第 134 行.
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.002473s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002546s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000365s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000408s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000257s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000492s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001715s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ view_end ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000754s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/newlinebg3.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000849s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ route_check ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001059s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001187s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000567s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run CheckLang Behavior [ RunTime:0.001653s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002346s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | SQL: SHOW COLUMNS FROM `my_procates` [ RunTime:0.003645s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | SQL: SELECT * FROM `my_procates` WHERE pid=0  [ RunTime:0.000259s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | SQL: SELECT * FROM `my_procates` WHERE pid!=0  [ RunTime:0.000099s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_template ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001685s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001759s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | NOTIC: [8] Undefined variable: list 5154d8a69ea19b1be76be2f39eed0021.php 第 133 行.
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | NOTIC: [8] Undefined variable: list 5154d8a69ea19b1be76be2f39eed0021.php 第 134 行.
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.002578s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002656s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000362s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000453s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000225s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000429s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001644s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_end ] --START--
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000477s ]
[ 2012-10-23T15:39:01+08:00 ] /index.php/Admin/product/addchild/id/skin/images/tbg.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000544s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ route_check ] --START--
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Run CheckRoute Behavior [ RunTime:0.001987s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ route_check ] --END-- [ RunTime:0.002143s ]
[ 2012-10-23T15:42:49+08:00 ] /index.php/Admin/Product | INFO: Tag[ app_begin ] --START--
