[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run CheckRoute Behavior [ RunTime:0.004360s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005207s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002482s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run CheckLang Behavior [ RunTime:0.008106s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011083s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005597s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005978s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | NOTIC: [2] file_get_contents(./Tpl/Admin/myweb/Public/footer.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.044178s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044603s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run ContentReplace Behavior [ RunTime:0.003073s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002773s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001462s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001933s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010123s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ view_end ] --START--
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001739s ]
[ 2012-10-17T00:03:37+08:00 ] /myweb/index.php/Admin/login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001963s ]
[ 2012-10-17T00:03:38+08:00 ] /myweb/index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:38+08:00 ] /myweb/index.php/Admin/login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.004055s ]
[ 2012-10-17T00:03:38+08:00 ] /myweb/index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.004497s ]
[ 2012-10-17T00:03:38+08:00 ] /myweb/index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:38+08:00 ] /myweb/index.php/Admin/login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002935s ]
[ 2012-10-17T00:03:38+08:00 ] /myweb/index.php/Admin/login/verify/ | INFO: Run CheckLang Behavior [ RunTime:0.005518s ]
[ 2012-10-17T00:03:38+08:00 ] /myweb/index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010100s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ route_check ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.008610s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.008999s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002579s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run CheckLang Behavior [ RunTime:0.005187s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008320s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_template ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002944s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.003280s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.029190s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029511s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.008619s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.002761s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002100s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002692s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017003s ]
[ 2012-10-17T00:03:50+08:00 ] /myweb/index.php/Admin/index/index | INFO: Tag[ view_end ] --START--
