[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001711s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001909s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000888s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run CheckLang Behavior [ RunTime:0.002438s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003454s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | NOTIC: [8] Undefined index:  STATUS LoginAction.class.php 第 9 行.
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --START--
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001129s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001204s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --START--
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.001554s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.001627s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --START--
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000749s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000990s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000573s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000776s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003276s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --START--
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000820s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000891s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --START--
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002261s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002427s ]
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/verify/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-23T09:57:12+08:00 ] /index.php/Admin/login/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001012s ]
